id,type,platform,constellation,datetime,cloud_cover,bbox,text
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDM_20260705T115359,satellite,sentinel-2a,sentinel-2,2026-07-05T06:43:21.024000Z,0.03,"[56.530455581973925, 23.420044569713237, 57.096268074330716, 24.413397299352482]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260705T064321_N0512_R120_T40QDM_20260705T115359

Capture Time:
2026-07-05T06:43:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
0.03 %

Bounding Box:
[56.530455581973925, 23.420044569713237, 57.096268074330716, 24.413397299352482]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDL_20260705T115359,satellite,sentinel-2a,sentinel-2,2026-07-05T06:43:21.024000Z,5.2,"[56.31600478972235, 22.51653454703369, 57.095599954292084, 23.510526689579592]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260705T064321_N0512_R120_T40QDL_20260705T115359

Capture Time:
2026-07-05T06:43:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
5.2 %

Bounding Box:
[56.31600478972235, 22.51653454703369, 57.095599954292084, 23.510526689579592]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260705T064321_N0512_R120_T40QDK_20260705T115359,satellite,sentinel-2a,sentinel-2,2026-07-05T06:43:21.024000Z,13.42,"[56.10357681006799, 21.612431218316747, 57.094963961133736, 22.60700939343149]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260705T064321_N0512_R120_T40QDK_20260705T115359

Capture Time:
2026-07-05T06:43:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
13.42 %

Bounding Box:
[56.10357681006799, 21.612431218316747, 57.094963961133736, 22.60700939343149]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXK_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,38.48,"[52.00027578051575, 26.1207412304164, 52.907862064474465, 27.118845826681362]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RXK_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
38.48 %

Bounding Box:
[52.00027578051575, 26.1207412304164, 52.907862064474465, 27.118845826681362]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXJ_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,99.57,"[51.99276932018573, 25.220870535107633, 52.662854534405255, 26.216444554819557]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RXJ_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
99.57 %

Bounding Box:
[51.99276932018573, 25.220870535107633, 52.662854534405255, 26.216444554819557]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RXH_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,98.91,"[51.9856119386822, 24.32015988453105, 52.42076477626398, 25.313386128673674]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RXH_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
98.91 %

Bounding Box:
[51.9856119386822, 24.32015988453105, 52.42076477626398, 25.313386128673674]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWK_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,4.64,"[50.999798198886296, 26.12689436875678, 52.10760269083818, 27.12246964175013]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RWK_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
4.64 %

Bounding Box:
[50.999798198886296, 26.12689436875678, 52.10760269083818, 27.12246964175013]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWJ_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,25.43,"[50.99979978093093, 25.22439454095876, 52.098921641118324, 26.21992939663604]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RWJ_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
25.43 %

Bounding Box:
[50.99979978093093, 25.22439454095876, 52.098921641118324, 26.21992939663604]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39RWH_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,23.08,"[50.9998012905827, 24.32124028955981, 52.09063778096024, 25.316733986977916]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39RWH_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
23.08 %

Bounding Box:
[50.9998012905827, 24.32124028955981, 52.09063778096024, 25.316733986977916]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
S2A_MSIL2A_20260704T071321_N0512_R106_T39QXG_20260704T104054,satellite,sentinel-2a,sentinel-2,2026-07-04T07:13:21.024000Z,37.4,"[51.980487188213964, 23.64206793864743, 52.181545464777045, 24.410215071618904]","
Satellite Image Information

Image ID: S2A_MSIL2A_20260704T071321_N0512_R106_T39QXG_20260704T104054

Capture Time:
2026-07-04T07:13:21.024000Z

Platform:
sentinel-2a

Constellation:
sentinel-2

Cloud Cover:
37.4 %

Bounding Box:
[51.980487188213964, 23.64206793864743, 52.181545464777045, 24.410215071618904]

Applications:
- Land cover monitoring
- Urban development
- Environmental monitoring
- Road extraction
- Change detection
- Infrastructure analysis
"
